toilet_id,toilet_name,toilet_address,toilet_latitude,toilet_longitude,toilet_keyRequired,toilet_openHours,toilet_parkInfo,toilet_gender,toilet_access
17674,Government House Drive,"Government House Drive, Kings Domain",-37.8269196,144.9746481,False,OPEN: 24 hours,"No Parking, Parking Accessible","Male, Female, , ",", , "
17678,Exhibition Street,Across from 265 Exhibition Street,-37.8094781,144.96934102,False,OPEN: 24 hours,"No Parking, Parking Accessible","Male, , , ",", , "
18175,Collins Place,45 Collins Street,-37.814009,144.972077,False,OPEN: 24 hours,"Parking, Parking Accessible","Male, Female, , ","Accessible, , "
18237,Queen Victoria Market,Corner Elizabeth & Victoria Streets,-37.80682305,144.95881386,False,"OPEN: Mon,Thu 2am-3pm, Tue,Thu-Fri 2am-5pm, Sat-Sun 2am-7pm","Parking, Parking Accessible","Male, Female, , ",", , "
18239,QV,Corner Lonsdale & Swanston Streets,-37.81080858,144.96497675,False,"OPEN: Mon-Thu 10am-6pm, Fri 10am-9pm, Sat-Sun 10am-6pm","Parking, Parking Accessible","Male, Female, , ","Accessible, , "
18253,The Walk Arcade,Bourke Street,-37.81421293,144.96431337,True,"OPEN: Mon-Wed,Sat 9am-5pm, Thu 9am-7pm, Fri 9am-9pm, Sun 10am-5pm","No Parking, Parking Accessible",", Female, , ","Accessible, , "
19310,Batman Park,Spencer Street,-37.82168484,144.95561464,False,OPEN: 6am-12am,"No Parking, Parking Accessible",", , Unisex, ",", , "
19316,Domain Road,169 Domain Road,-37.83389707,144.98175356,False,OPEN: 24 hours,"Parking, Parking Accessible",", , Unisex, ","Accessible, , "
19324,Franklin Street,465 Elizabeth Street,-37.80823705,144.96018328,False,OPEN: 24 hours,"No Parking, Parking Accessible",", , , ","Accessible, , "
34699,Nursery,Birdwood Avenue,-37.8324347,144.97975147,False,OPEN: Variable hours,"No Parking, Parking Accessible","Male, Female, , ","Accessible, , "
34701,Touchwood,Alexandra Avenue,-37.82951167,144.98209556,False,OPEN: Variable hours,"No Parking, Parking Accessible","Male, Female, , ","Accessible, , "
40017,Commercial Road,55 Commercial Rd,-37.84520425,144.98262523,False,OPEN: 24 hours,"No Parking, Parking Accessible",", , Unisex, ","Accessible, , "
40095,Fawkner Park,152-154 Toorak Rd West,-37.83820341,144.98444042,False,OPEN: 24 hours,"No Parking, Parking Accessible","Male, Female, , ","Accessible, , "
40097,Alexandra Park,Alexandra Avenue,-37.82761036,144.98183252,False,OPEN: 24 hours,"No Parking, Parking Accessible",", , Unisex, ","Accessible, , "
40219,Flinders Street,245 Flinders St,-37.81792284,144.96633052,False,OPEN: 24 hours,"No Parking, Parking Accessible",", , Unisex, ","Accessible, , "
40225,Queen Street,113 Queen St,-37.81584891,144.96108042,False,OPEN: 24 hours,"No Parking, Parking Accessible",", , Unisex, ","Accessible, , "
40227,Lonsdale Street,424 Lonsdale St,-37.81294323,144.96002925,False,OPEN: 24 hours,"No Parking, Parking Accessible",", , Unisex, ","Accessible, , "
40267,Bourke Street,225 Bourke St,-37.81325309,144.9669585,False,OPEN: 24 hours,"No Parking, Parking Accessible",", , Unisex, ","Accessible, , "
40497,David Jones - Bourke Street,310 Bourke Street,-37.813309,144.964402,False,OPEN: Variable hours,"No Parking, Parking Accessible","Male, Female, , ",", , "
