id,theme,subTheme,name,latitude,longitude
PLAC-165,Transport,Railway Station,Melbourne Central Railway Station,-37.8108930047401, 144.963100728702
PLAC-166,Transport,Railway Station,Flemington Racecourse Railway Station,-37.7869105822519, 144.908190706069
PLAC-167,Transport,Railway Station,Showgrounds Railway Station (Flemington),-37.7834651216244, 144.914902626775
PLAC-168,Transport,Railway Station,Newmarket Railway Station,-37.7872726241965, 144.929059958114
PLAC-169,Place Of Assembly,Theatre Live,Athanaeum Theatre,-37.814954347831, 144.96732254212
PLAC-170,Health Services,Public Hospital,Alfred Hospital,-37.8462631206461, 144.981786260765
PLAC-171,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Riverside Park,-37.7948375315825, 144.915607065132
PLAC-172,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Darling Square,-37.81299206932, 144.989062559512
PLAC-173,Place Of Assembly,Theatre Live,Carlton Courthouse Theatre,-37.7976589943217, 144.968750113566
PLAC-174,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Flagstaff Gardens,-37.8111222889277, 144.954696055235
PLAC-175,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Showgrounds,-37.7823097850883, 144.910822117306
PLAC-176,Education Centre,Primary Schools,North Melbourne Primary School,-37.7986737155551, 144.951065772876
PLAC-177,Place Of Assembly,Theatre Live,Her Majesty's Theatre,-37.8109975612842, 144.969520183129
PLAC-178,Place Of Assembly,Theatre Live,Comedy Theatre,-37.8102053945163, 144.97013311862
PLAC-179,Place Of Assembly,Theatre Live,La Mama Theatre,-37.7991304956733, 144.967669503083
PLAC-180,Industrial,Industrial (Manufacturing),Kraft,-37.8262313085528, 144.923475698195
PLAC-181,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Fawkner Park,-37.8413996708186, 144.981625667877
PLAC-182,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Fitzroy Gardens,-37.8129616331579, 144.980455714669
PLAC-183,Place Of Assembly,Art Gallery/Museum,Sinclair's Cottage,-37.8145407488014, 144.980554992725
PLAC-184,Education Centre,Tertiary (University),BIO 21 Institute,-37.7978743305343, 144.953780325865
PLAC-185,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Enterprize Park,-37.820210269629, 144.959276859602
PLAC-186,Place Of Assembly,Art Gallery/Museum,Victoria Police Museum,-37.8222182774409, 144.954039975197
PLAC-187,Place Of Assembly,Art Gallery/Museum,Immigration Museum,-37.8191798798062, 144.960426777129
PLAC-188,Place of Worship,Church,St Pauls Cathedral,-37.8169549012399, 144.967681647402
PLAC-189,Place Of Assembly,Theatre Live,Forum Theatre,-37.816485409696, 144.969386556998
PLAC-190,Transport,Railway Station,Flinders Street Railway Station,-37.8179063007545, 144.967064817875
PLAC-191,Warehouse/Store,Store Yard,Melbourne Wholesale Fish Market,-37.8083471006041, 144.930613255612
PLAC-192,Mixed Use,Retail/Office/Carpark,"Melbourne Wholesale Fruit, Vegetable & Flower Market",-37.80687252157, 144.923287444259
PLAC-193,Place Of Assembly,Art Gallery/Museum,Fire Services Museum Victoria,-37.8085761281612, 144.975373745366
PLAC-194,Community Use,Fire Station,Metropolitan Fire Brigade (MFB),-37.8092318636838, 144.975247619376
PLAC-195,Health Services,Public Hospital,Royal Melbourne Hospital,-37.7993071664096, 144.956389746765
PLAC-196,Place Of Assembly,Art Gallery/Museum,The Ian Potter Museum Of Art,-37.7973939595503, 144.964156669702
PLAC-197,Education Centre,Tertiary (University),University of Melbourne,-37.7982892284927, 144.96099520158
PLAC-198,Place Of Assembly,Art Gallery/Museum,Koorie Heritage Trust Inc,-37.8133854259085, 144.954027907736
