id,address,reference,description,latitude,longitude
6405,Willis Street,Between Stockmans Way and The Crescent,P DIS Sun 00:00 - 11:59PM4P Dis 7.30am - 6.30pm M-SatP DIS M-Sat 6.30-11.59 ,-37.79360481,144.918642
1920,Kay Street,Between Station Street and Canning Street,P DIS AOT 20:30 TO 23:592P DIS 7.30AM TO 8.30PM  ,-37.79529463,144.9740407
1031,Barkly Street,Between Canning Street and Rathdowne Street,P DISABLE AOT 0:00 TO 7:30P DIS AOT 20:30 TO 23:592P DIS 7.30 - 8.30PM ,-37.80024544,144.9708944
4611,Henderson Street,Between Fogarty Street and Gracie Street,4P DIS M-F 7.30-6.304P DIS SAT 7.30-12.30  ,-37.79756165,144.93925
6035,Park Street,Between Mason Street and Randall Place,2P DIS M-SAT 7:30-18:30   ,-37.8360346,144.9822052
6330,Lorimer Street,Between West Gate Bridge and Todd Road,P DIS Sun 00:00 - 11:59PMP DIS M-Sat 6.30-11.592P DIS M-SAT 7:30-18:30 ,-37.82763445,144.9023539
1471,Drummond Street,Between Victoria Street and Queensberry Street,2P DIS ONLY 7.30 - 20.30P DIS AOT 20:30 TO 23:59  ,-37.80586061,144.9674421
4617,Baillie Street,Between Curzon Street and Abbotsford Street,4P DIS M-F 7.30-6.304P DIS SAT 7.30-12.30  ,-37.80141394,144.9472258
6086,Wellington Crescent,From Wellington Parade South,P DIS M-Sat 6.30-11.59P DIS Sun 00:00 - 11:59PM4P DIS 7.30am - 6.30pm2P DIS M-SAT 7:30-18:30,-37.81727198,144.9780287
4613,Abbotsford Street,Between Adderley Street and Ireland Street,4P DIS M-F 7.30-6.304P DIS SAT 7.30-12.30  ,-37.80737161,144.9439946
1543,Palmerston Street,Between Canning Street and Rathdowne Street,2P DIS ONLY 7.30 - 20.30   ,-37.79641742,144.9725769
4615,Altona Street,Between Ormond Street and Kensington Road,4P DIS M-F 7.30-6.304P DIS SAT 7.30-12.30  ,-37.7964094,144.9248889
1470,Drummond Street,Between Victoria Street and Queensberry Street,2P DIS ONLY 7.30 - 20.30P DIS AOT 20:30 TO 23:59  ,-37.80591439,144.9674329
3283,Queensberry Street,Between Chetwynd Street and Leveson Street,2P DIS ONLY   ,-37.80337172,144.9516321
674,Faraday Street,Between Canning Street and Rathdowne Street,2P DIS ONLY 7.30 - 20.30P DIS AOT 20:30 TO 23:59P DISABLE AOT 0:00 TO 7:30 ,-37.79920605,144.9713274
1009,Elgin Street,Between Canning Street and Rathdowne Street,2P DIS ONLY 7.30 - 20.304P DIS ONLY AOT  ,-37.79765603,144.9712557
1007,Elgin Street,Between Canning Street and Rathdowne Street,2P DIS ONLY 7.30 - 20.304P DIS ONLY AOT  ,-37.7975693,144.9721924
1473,Drummond Street,Between Victoria Street and Queensberry Street,P DIS AOT 20:30 TO 23:592P DIS 7.30 - 8.30PM  ,-37.80557024,144.9674905
2359,Faraday Street,Between Drummond Street and Lygon Street,P DIS AOT 20:30 TO 23:592P DIS M-F 7:30-16:002P DIS M-F 18:30-20:302P DIS SAT - SUN 7.30 TO 20.30,-37.79871307,144.9685082
6067,Hawke Street,Between Spencer Street and Miller Street,2P DIS ONLY M-SUN 7:30-18:30   ,-37.80636569,144.9477479
2691,Park Street,Between Oak Street and West Coburg Tramway,1P DIS M-SUN 0:00-23:59   ,-37.77651134,144.9467242
2325,Station Street,Between Kay Street and Princes Street,2PDis AOT 9.30 - 23.59   ,-37.79434095,144.9744587
874,Station Street,Between Kay Street and Princes Street,P DIS AOT 20:30 TO 23:592P DIS 7.30 - 8.30PM  ,-37.79499864,144.9743447
3724,Road Seg Desc unknown,Road Seg Desc unknown,2P DIS M-SUN 0:00-23:59   ,-37.79433274,144.9198078
6254,Abbotsford Street,Between Ireland Street and Spencer Street,2P DISABLE 7:30-22:00   ,-37.80706909,144.9443409
7855,Kensington Road,Between Altona Street and Mercantile Parade,P DISABLE AOT 0:00 TO 7:302P DIS 7.30 - 8.30PMP DIS AOT 8:31PM-11:59PM ,-37.79680391,144.9231597
4245,Lorimer Street,Between West Gate Bridge and Todd Road,4P DIS ONLY M-SUN   ,-37.82424041,144.907076
6040,Domain Road,Between Marne Street and Walsh Street,1/2P DIS   ,-37.83445195,144.9846213
5889,Henry Street,Between Derby Street and Altona Street,3P Disable AOT   ,-37.79583725,144.9261715
4347,Road Seg Desc unknown,Road Seg Desc unknown,P DIS AOT 20:30 TO 23:592P DIS 7.30 - 8.30PM  ,-37.82113242,144.9880833
4346,Spring Street,Between Little Collins Street and Bourke Street,P DIS AOT 20:30 TO 23:592P DIS 7.30 - 8.30PM  ,-37.81193478,144.9734293
1728,Intersection of Cardigan Street and Keppel Street,Intersection of Cardigan Street and Keppel Street,2P DIS M-SUN 7:30-19:30   ,-37.79552982,144.9662048
3543,Royal Parade,Between Ievers Street and Park Street,4P DIS ONLY M-SUN   ,-37.77991186,144.9597754
2650,Roden Street,Between Adderley Street and Spencer Street,2P DIS M-F 7:30-18:30   ,-37.80823409,144.9472183
1762,Bourke Street,Between Russell Street and Swanston Street,2P DIS ONLY M-SAT 7:30-20:302P DIS ONLY SUN 7:30-18:30  ,-37.81294645,144.9673435
673,Faraday Street,Between Rathdowne Street and Drummond Street,2P DIS ONLY 7.30 - 20.30P DIS AOT 20:30 TO 23:59P DISABLE AOT 0:00 TO 7:30 ,-37.79901801,144.9695997
5025,Park Street,Between West Coburg Tramway and Royal Parade,2P DIS M-F 7:30-18:30   ,-37.77775311,144.9570352
6027,Millswyn Street,Between Toorak Road and St Martins Lane,2P DIS M-SAT 7:30-18:30   ,-37.83633463,144.980168
1672,Canning Street,Between Faraday Street and Elgin Street,P DIS ONLY 20.30 - 23.592P DIS 7.30 - 8.30PM  ,-37.79831999,144.9729062
6080,Haines Street,Between Curzon Street and Abbotsford Street,2P DIS M-SAT 7:30-18:30   ,-37.79856452,144.947258
2738,Benjamin Street,Between Story Street and Morrah Street,2P DIS 7.30AM TO 8.30PMP DIS AOT 8:31PM-11:59PM  ,-37.79625486,144.9553634
6173,Albert Street,Between Nicholson Street and Gisborne Street,2P DIS M-SAT 7:30-18:30   ,-37.80957471,144.9750716
6237,Slater Street,From St Kilda Road,2P DIS M-SUN 0:00-23:59   ,-37.83878189,144.977682
6466,Southgate Street,Between Flemington Road and Manningham Street,2P DIS ONLY M-SUN 7:30-18:30   ,-37.78853535,144.9431638
6174,Albert Street,Between Nicholson Street and Gisborne Street,2P DIS M-SAT 7:30-18:30   ,-37.80958942,144.9752052
6224,Wimble Street,Between Morrah Street and Park Drive,2P DIS M-SUN 0:00-23:59   ,-37.79475573,144.955799
