id,name,infoDisplay,hearingLoop,lift,latitude,longitude
STAT-85,Hawksburn,Dot Matrix,No,No,-37.844667999999956,145.00209500000005
STAT-86,Hawthorn,Dot Matrix,No,No,-37.821838999999954,145.02308800000003
STAT-87,Heatherdale,LCD,Yes,Yes,-37.818922999999984,145.21189500000003
STAT-88,Heathmont,Dot Matrix,No,No,-37.827849999999955,145.24430600000005
STAT-89,Heidelberg,Dot Matrix,No,No,-37.75714899999997,145.060927
STAT-90,Heyington,No,No,No,-37.83466999999996,145.02263400000004
STAT-91,Highett,Dot Matrix,No,No,-37.948095999999964,145.04163400000004
STAT-92,Holmesglen,Dot Matrix,No,No,-37.874292999999966,145.091183
STAT-93,Hoppers Crossing,Dot Matrix,No,No,-37.88326999999998,144.70104700000002
STAT-94,Hughesdale,No,No,No,-37.89487699999995,145.0776400000001
STAT-95,Huntingdale,Dot Matrix,No,No,-37.91099299999996,145.102398
STAT-96,Hurstbridge,Dot Matrix,No,No,-37.639453,145.19208100000003
STAT-97,Ivanhoe,Dot Matrix,No,No,-37.76892699999996,145.045391
STAT-98,Jacana,No,No,No,-37.695133,144.91585600000008
STAT-99,Jewell,No,No,No,-37.77484999999996,144.958749
STAT-100,Jolimont,Dot Matrix,No,No,-37.81649999999996,144.983878
STAT-101,Jordanville,No,No,No,-37.873598999999956,145.11208900000008
STAT-102,Kananook,Dot Matrix,No,No,-38.121421,145.13550400000008
STAT-103,Kensington,No,No,No,-37.79348599999997,144.93046700000002
STAT-104,Keon Park,Dot Matrix,No,No,-37.694511999999975,145.011937
STAT-105,Kooyong,LCD,No,No,-37.83982099999997,145.03312100000005
STAT-106,Laburnum,No,No,No,-37.82091499999996,145.14050200000008
STAT-107,Lalor,Dot Matrix,No,No,-37.66541599999999,145.01740800000005
STAT-108,Laverton,Dot Matrix,No,Yes,-37.86369399999995,144.7726150000001
STAT-109,Leawarra,No,No,No,-38.15180499999997,145.13889200000006
STAT-110,Lilydale,Dot Matrix,No,No,-37.755019000000004,145.34823100000006
STAT-111,Macaulay,No,No,No,-37.79457599999995,144.93611299999998
STAT-112,Macleod,Dot Matrix,No,No,-37.726291,145.06910700000003
STAT-113,Malvern,Dot Matrix,No,No,-37.86624999999998,145.02929400000005
STAT-114,Mckinnon,LCD,Yes,Yes,-37.91071299999999,145.03822300000002
STAT-115,Melbourne Central,LCD,Yes,Yes,-37.809699999999964,144.963757
STAT-116,Mentone,Dot Matrix,No,No,-37.98197499999998,145.06524000000002
STAT-117,Merinda Park,Dot Matrix,No,No,-38.07900999999998,145.26349100000004
STAT-118,Merlynston,No,No,No,-37.72093699999999,144.96131200000002
STAT-119,Merri,No,No,No,-37.77777299999997,144.99299600000006
STAT-120,Middle Brighton,No,No,No,-37.915134999999964,144.99629900000002
STAT-121,Middle Footscray,No,No,No,-37.802505999999994,144.8913100000001
STAT-122,Mitcham,Dot Matrix,Yes,Yes,-37.81797799999998,145.19228099999998
STAT-123,Mont Albert,No,No,No,-37.819541999999956,145.10556000000008
STAT-124,Montmorency,No,No,No,-37.715296999999964,145.12151100000005
STAT-125,Moonee Ponds,Dot Matrix,No,No,-37.76581299999998,144.91920200000004
STAT-126,Moorabbin,Dot Matrix,No,No,-37.93482,145.03668300000004
STAT-127,Mooroolbark,Dot Matrix,No,No,-37.78473599999995,145.31283600000006
STAT-128,Mordialloc,Dot Matrix,No,No,-38.006508,145.08755400000007
STAT-129,Moreland,No,No,No,-37.75434199999995,144.96184800000003
STAT-130,Morradoo,No,No,No,-38.353931999999986,145.18949900000007
STAT-131,Mount Waverley,No,No,No,-37.87527399999999,145.12841300000002
STAT-132,Murrumbeena,No,No,No,-37.890266,145.06733200000008
STAT-133,Narre Warren,No,No,No,-38.02764099999996,145.30360600000006
STAT-134,Watergardens,Dot Matrix,No,Yes,-37.700717,144.77386
STAT-135,Newmarket,No,No,No,-37.78690499999999,144.92888600000003
STAT-136,Newport,LCD,No,No,-37.84271899999999,144.883604
STAT-137,Noble Park,Dot Matrix,No,No,-37.96723599999996,145.17693600000007
STAT-138,North Brighton,No,No,No,-37.90491599999996,145.00259500000004
STAT-139,North Melbourne,LCD,No,Yes,-37.806735,144.94183099999998
STAT-140,North Richmond,Dot Matrix,No,No,-37.81007599999998,144.99255600000004
STAT-141,North Williamstown,LCD,No,No,-37.85668099999998,144.88875700000006
STAT-142,Northcote,Dot Matrix,No,No,-37.76986499999998,144.9952820000001
STAT-143,Nunawading,Dot Matrix,Yes,Yes,-37.820719999999994,145.174174
STAT-144,Oak Park,No,No,No,-37.718046999999956,144.92153500000006
STAT-145,Oakleigh,Dot Matrix,No,No,-37.900368999999955,145.08831400000008
STAT-146,Officer,No,No,No,-38.066142999999954,145.41099300000008
STAT-147,Ormond,LCD,Yes,Yes,-37.903606999999965,145.039531
STAT-148,Pakenham,Dot Matrix,No,No,-38.080547999999965,145.48651100000006
STAT-149,Parkdale,Dot Matrix,No,No,-37.99306999999999,145.07629600000007
STAT-150,Parliament,LCD,Yes,Yes,-37.811928999999964,144.97340800000006
STAT-151,Pascoe Vale,No,No,No,-37.73075499999999,144.92819500000007
STAT-152,Patterson,Dot Matrix,No,No,-37.92550499999999,145.03546100000005
STAT-153,Prahran,Dot Matrix,No,No,-37.849762999999996,144.98981700000002
STAT-154,Preston,Dot Matrix,No,No,-37.73873599999996,145.00051600000006
STAT-155,Keilor Plains,Dot Matrix,No,No,-37.729602,144.79381
STAT-156,Regent,Dot Matrix,No,No,-37.728602999999964,145.00273200000004
STAT-157,Reservoir,Dot Matrix,No,No,-37.71701399999995,145.00691900000004
STAT-158,Richmond,LCD,No,No,-37.82396299999999,144.98957400000006
STAT-159,Ringwood,Dot Matrix,Yes,Yes,-37.815968999999996,145.22881600000005
STAT-160,Ringwood East,No,No,No,-37.81199499999997,145.24969
STAT-161,Ripponlea,Dot Matrix,No,No,-37.875923,144.995226
STAT-162,Riversdale,Dot Matrix,No,No,-37.83172399999995,145.069614
STAT-163,Rosanna,Dot Matrix,No,No,-37.74287199999998,145.06611900000007
STAT-164,Royal Park,No,No,No,-37.781183,144.951868
STAT-165,Rushall,No,No,No,-37.78318299999995,144.99241300000006
STAT-166,Ruthven,No,No,No,-37.70828899999998,145.00935800000002
STAT-167,Sandown Park,No,No,No,-37.95669399999997,145.163
STAT-168,Sandringham,Dot Matrix,No,No,-37.950256999999965,145.004588
STAT-169,Seaford,Dot Matrix,No,No,-38.10435799999999,145.12823300000002
STAT-170,Seaholme,LCD,No,No,-37.86784299999999,144.840958
STAT-171,Seddon,Dot Matrix,No,No,-37.80859299999997,144.89604300000008
STAT-172,Roxburgh Park,Dot Matrix,Yes,No,-37.638004999999964,144.935568
STAT-173,Somerville,No,No,No,-38.225495999999964,145.17635300000006
STAT-174,South Kensington,No,No,No,-37.79958999999997,144.92532000000006
STAT-175,South Yarra,Dot Matrix,No,No,-37.83823799999999,144.992297
STAT-176,Southern Cross,LCD,No,Yes,-37.818354,144.95219300000008
STAT-177,Spotswood,No,No,No,-37.83065099999999,144.885942
STAT-178,Springvale,Dot Matrix,Yes,Yes,-37.94937999999996,145.153507
STAT-179,St Albans,LCD,Yes,Yes,-37.744872999999984,144.80007
STAT-180,Stony Point,No,No,No,-38.37405199999995,145.221141
STAT-181,Strathmore,No,No,No,-37.743592999999976,144.92732
STAT-182,Sunbury,Dot Matrix,No,No,-37.57939099999999,144.72787700000003
STAT-183,Sunshine,Dot Matrix,Yes,Yes,-37.78785099999999,144.83232400000009
STAT-184,Surrey Hills,Dot Matrix,No,No,-37.82405399999999,145.09863900000005
STAT-185,Syndal,Dot Matrix,No,No,-37.87633099999999,145.14944400000002
STAT-186,Tecoma,No,No,No,-37.90822599999996,145.34316
STAT-187,Thomastown,Dot Matrix,Yes,Yes,-37.680296,145.01429400000006
STAT-188,Thornbury,Dot Matrix,No,No,-37.75504799999999,144.99857600000007
STAT-189,Toorak,Dot Matrix,No,No,-37.85084699999999,145.01379300000008
STAT-190,Tooronga,No,No,No,-37.849369999999965,145.04173400000002
STAT-191,Tottenham,No,No,No,-37.79925499999996,144.86294800000007
STAT-192,Tyabb,No,No,No,-38.25996399999997,145.186512
STAT-193,Upfield,Dot Matrix,No,No,-37.666075999999975,144.94674500000008
STAT-194,Upper Ferntree Gully,Dot Matrix,No,No,-37.89264799999995,145.30747000000008
STAT-195,Upwey,No,No,No,-37.90369199999998,145.33133500000008
STAT-196,Victoria Park,Dot Matrix,No,No,-37.79938099999998,144.99440700000002
STAT-197,Watsonia,Dot Matrix,No,No,-37.71137999999996,145.083389
STAT-198,Wattle Glen,No,No,No,-37.66394199999996,145.18171400000006
STAT-199,Werribee,Dot Matrix,No,No,-37.89951099999996,144.66091300000005
STAT-200,West Footscray,Dot Matrix,Yes,Yes,-37.801849000000004,144.88564800000006
STAT-201,West Richmond,No,No,No,-37.81445599999995,144.99169600000005
STAT-202,Westall,Dot Matrix,No,Yes,-37.938492,145.1388340000001
STAT-203,Westgarth,LCD,No,No,-37.780619,144.999232
STAT-204,Westona,LCD,No,No,-37.86516599999999,144.8135010000001
STAT-205,Williamstown,Dot Matrix,No,No,-37.86788199999995,144.90563500000007
STAT-206,Williamstown Beach,No,No,No,-37.86408399999999,144.894682
STAT-207,Willison,No,No,No,-37.835487,145.07014000000004
STAT-208,Windsor,Dot Matrix,No,No,-37.85582899999997,144.99173300000007
STAT-209,Yarraman,No,No,No,-37.97814699999998,145.19175200000006
STAT-210,Yarraville,LCD,No,No,-37.81581299999999,144.88997500000005
STAT-211,Coolaroo,Dot Matrix,Yes,Yes,-37.661001,144.92605300000002
STAT-212,South Morang,Dot Matrix,Yes,Yes,-37.64907599999998,145.06746800000008
STAT-213,Lynbrook,Dot Matrix,Yes,No,-38.057331999999974,145.24939100000006
STAT-214,Cardinia Road,Dot Matrix,Yes,No,-38.071327,145.438088
STAT-215,Williams Landing,Dot Matrix,Yes,Yes,-37.87009999999998,144.74719400000004
STAT-216,Aircraft,No,No,No,-37.866603,144.760809
STAT-217,Flemington Racecourse,No,No,No,-37.787585999999976,144.907196
STAT-218,Showgrounds,No,No,No,-37.783551999999986,144.914982
STAT-219,Southland,LCD,Yes,Yes,-37.958177999999975,145.048673
