station_id,station_name,station_latitude,station_longitude,station_infoDisplay,station_hearingLoop,station_lift
Hastings,Hastings,-38.305454,145.18598400000008,No,No,No
Hawksburn,Hawksburn,-37.844667999999956,145.00209500000005,Dot Matrix,No,No
Hawthorn,Hawthorn,-37.821838999999954,145.02308800000003,Dot Matrix,No,No
Heatherdale,Heatherdale,-37.818922999999984,145.21189500000003,LCD,Yes,Yes
Heathmont,Heathmont,-37.827849999999955,145.24430600000005,Dot Matrix,No,No
Heidelberg,Heidelberg,-37.75714899999997,145.060927,Dot Matrix,No,No
Heyington,Heyington,-37.83466999999996,145.02263400000004,No,No,No
Highett,Highett,-37.948095999999964,145.04163400000004,Dot Matrix,No,No
Holmesglen,Holmesglen,-37.874292999999966,145.091183,Dot Matrix,No,No
Hoppers Crossing,Hoppers Crossing,-37.88326999999998,144.70104700000002,Dot Matrix,No,No
Hughesdale,Hughesdale,-37.89487699999995,145.0776400000001,No,No,No
Huntingdale,Huntingdale,-37.91099299999996,145.102398,Dot Matrix,No,No
Hurstbridge,Hurstbridge,-37.639453,145.19208100000003,Dot Matrix,No,No
Ivanhoe,Ivanhoe,-37.76892699999996,145.045391,Dot Matrix,No,No
Jacana,Jacana,-37.695133,144.91585600000008,No,No,No
Jewell,Jewell,-37.77484999999996,144.958749,No,No,No
Jolimont,Jolimont,-37.81649999999996,144.983878,Dot Matrix,No,No
Jordanville,Jordanville,-37.873598999999956,145.11208900000008,No,No,No
Kananook,Kananook,-38.121421,145.13550400000008,Dot Matrix,No,No
Kensington,Kensington,-37.79348599999997,144.93046700000002,No,No,No
Keon Park,Keon Park,-37.694511999999975,145.011937,Dot Matrix,No,No
Kooyong,Kooyong,-37.83982099999997,145.03312100000005,LCD,No,No
Laburnum,Laburnum,-37.82091499999996,145.14050200000008,No,No,No
Lalor,Lalor,-37.66541599999999,145.01740800000005,Dot Matrix,No,No
Laverton,Laverton,-37.86369399999995,144.7726150000001,Dot Matrix,No,Yes
Leawarra,Leawarra,-38.15180499999997,145.13889200000006,No,No,No
Lilydale,Lilydale,-37.755019000000004,145.34823100000006,Dot Matrix,No,No
Macaulay,Macaulay,-37.79457599999995,144.93611299999998,No,No,No
Macleod,Macleod,-37.726291,145.06910700000003,Dot Matrix,No,No
Malvern,Malvern,-37.86624999999998,145.02929400000005,Dot Matrix,No,No
Mckinnon,Mckinnon,-37.91071299999999,145.03822300000002,LCD,Yes,Yes
Melbourne Central,Melbourne Central,-37.809699999999964,144.963757,LCD,Yes,Yes
Mentone,Mentone,-37.98197499999998,145.06524000000002,Dot Matrix,No,No
Merinda Park,Merinda Park,-38.07900999999998,145.26349100000004,Dot Matrix,No,No
Merlynston,Merlynston,-37.72093699999999,144.96131200000002,No,No,No
Merri,Merri,-37.77777299999997,144.99299600000006,No,No,No
Middle Brighton,Middle Brighton,-37.915134999999964,144.99629900000002,No,No,No
Middle Footscray,Middle Footscray,-37.802505999999994,144.8913100000001,No,No,No
Mitcham,Mitcham,-37.81797799999998,145.19228099999998,Dot Matrix,Yes,Yes
Mont Albert,Mont Albert,-37.819541999999956,145.10556000000008,No,No,No
Montmorency,Montmorency,-37.715296999999964,145.12151100000005,No,No,No
Moonee Ponds,Moonee Ponds,-37.76581299999998,144.91920200000004,Dot Matrix,No,No
Moorabbin,Moorabbin,-37.93482,145.03668300000004,Dot Matrix,No,No
Mooroolbark,Mooroolbark,-37.78473599999995,145.31283600000006,Dot Matrix,No,No
Mordialloc,Mordialloc,-38.006508,145.08755400000007,Dot Matrix,No,No
Moreland,Moreland,-37.75434199999995,144.96184800000003,No,No,No
Morradoo,Morradoo,-38.353931999999986,145.18949900000007,No,No,No
Mount Waverley,Mount Waverley,-37.87527399999999,145.12841300000002,No,No,No
Murrumbeena,Murrumbeena,-37.890266,145.06733200000008,No,No,No
Narre Warren,Narre Warren,-38.02764099999996,145.30360600000006,No,No,No
Watergardens,Watergardens,-37.700717,144.77386,Dot Matrix,No,Yes
Newmarket,Newmarket,-37.78690499999999,144.92888600000003,No,No,No
Newport,Newport,-37.84271899999999,144.883604,LCD,No,No
Noble Park,Noble Park,-37.96723599999996,145.17693600000007,Dot Matrix,No,No
North Brighton,North Brighton,-37.90491599999996,145.00259500000004,No,No,No
North Melbourne,North Melbourne,-37.806735,144.94183099999998,LCD,No,Yes
North Richmond,North Richmond,-37.81007599999998,144.99255600000004,Dot Matrix,No,No
North Williamstown,North Williamstown,-37.85668099999998,144.88875700000006,LCD,No,No
Northcote,Northcote,-37.76986499999998,144.9952820000001,Dot Matrix,No,No
Nunawading,Nunawading,-37.820719999999994,145.174174,Dot Matrix,Yes,Yes
Oak Park,Oak Park,-37.718046999999956,144.92153500000006,No,No,No
Oakleigh,Oakleigh,-37.900368999999955,145.08831400000008,Dot Matrix,No,No
Officer,Officer,-38.066142999999954,145.41099300000008,No,No,No
Ormond,Ormond,-37.903606999999965,145.039531,LCD,Yes,Yes
Pakenham,Pakenham,-38.080547999999965,145.48651100000006,Dot Matrix,No,No
Parkdale,Parkdale,-37.99306999999999,145.07629600000007,Dot Matrix,No,No
Parliament,Parliament,-37.811928999999964,144.97340800000006,LCD,Yes,Yes
Pascoe Vale,Pascoe Vale,-37.73075499999999,144.92819500000007,No,No,No
Patterson,Patterson,-37.92550499999999,145.03546100000005,Dot Matrix,No,No
Prahran,Prahran,-37.849762999999996,144.98981700000002,Dot Matrix,No,No
Preston,Preston,-37.73873599999996,145.00051600000006,Dot Matrix,No,No
Keilor Plains,Keilor Plains,-37.729602,144.79381,Dot Matrix,No,No
Regent,Regent,-37.728602999999964,145.00273200000004,Dot Matrix,No,No
Reservoir,Reservoir,-37.71701399999995,145.00691900000004,Dot Matrix,No,No
Richmond,Richmond,-37.82396299999999,144.98957400000006,LCD,No,No
Ringwood,Ringwood,-37.815968999999996,145.22881600000005,Dot Matrix,Yes,Yes
Ringwood East,Ringwood East,-37.81199499999997,145.24969,No,No,No
Ripponlea,Ripponlea,-37.875923,144.995226,Dot Matrix,No,No
Riversdale,Riversdale,-37.83172399999995,145.069614,Dot Matrix,No,No
Rosanna,Rosanna,-37.74287199999998,145.06611900000007,Dot Matrix,No,No
Royal Park,Royal Park,-37.781183,144.951868,No,No,No
Rushall,Rushall,-37.78318299999995,144.99241300000006,No,No,No
Ruthven,Ruthven,-37.70828899999998,145.00935800000002,No,No,No
Sandown Park,Sandown Park,-37.95669399999997,145.163,No,No,No
Sandringham,Sandringham,-37.950256999999965,145.004588,Dot Matrix,No,No
Seaford,Seaford,-38.10435799999999,145.12823300000002,Dot Matrix,No,No
Seaholme,Seaholme,-37.86784299999999,144.840958,LCD,No,No
Seddon,Seddon,-37.80859299999997,144.89604300000008,Dot Matrix,No,No
Roxburgh Park,Roxburgh Park,-37.638004999999964,144.935568,Dot Matrix,Yes,No
Somerville,Somerville,-38.225495999999964,145.17635300000006,No,No,No
South Kensington,South Kensington,-37.79958999999997,144.92532000000006,No,No,No
South Yarra,South Yarra,-37.83823799999999,144.992297,Dot Matrix,No,No
Southern Cross,Southern Cross,-37.818354,144.95219300000008,LCD,No,Yes
Spotswood,Spotswood,-37.83065099999999,144.885942,No,No,No
Springvale,Springvale,-37.94937999999996,145.153507,Dot Matrix,Yes,Yes
St Albans,St Albans,-37.744872999999984,144.80007,LCD,Yes,Yes
Stony Point,Stony Point,-38.37405199999995,145.221141,No,No,No
Strathmore,Strathmore,-37.743592999999976,144.92732,No,No,No
Sunbury,Sunbury,-37.57939099999999,144.72787700000003,Dot Matrix,No,No
Sunshine,Sunshine,-37.78785099999999,144.83232400000009,Dot Matrix,Yes,Yes
Surrey Hills,Surrey Hills,-37.82405399999999,145.09863900000005,Dot Matrix,No,No
Syndal,Syndal,-37.87633099999999,145.14944400000002,Dot Matrix,No,No
Tecoma,Tecoma,-37.90822599999996,145.34316,No,No,No
Thomastown,Thomastown,-37.680296,145.01429400000006,Dot Matrix,Yes,Yes
Thornbury,Thornbury,-37.75504799999999,144.99857600000007,Dot Matrix,No,No
Toorak,Toorak,-37.85084699999999,145.01379300000008,Dot Matrix,No,No
Tooronga,Tooronga,-37.849369999999965,145.04173400000002,No,No,No
Tottenham,Tottenham,-37.79925499999996,144.86294800000007,No,No,No
Tyabb,Tyabb,-38.25996399999997,145.186512,No,No,No
Upfield,Upfield,-37.666075999999975,144.94674500000008,Dot Matrix,No,No
Upper Ferntree Gully,Upper Ferntree Gully,-37.89264799999995,145.30747000000008,Dot Matrix,No,No
Upwey,Upwey,-37.90369199999998,145.33133500000008,No,No,No
Victoria Park,Victoria Park,-37.79938099999998,144.99440700000002,Dot Matrix,No,No
Watsonia,Watsonia,-37.71137999999996,145.083389,Dot Matrix,No,No
Wattle Glen,Wattle Glen,-37.66394199999996,145.18171400000006,No,No,No
Werribee,Werribee,-37.89951099999996,144.66091300000005,Dot Matrix,No,No
