id,name,address,keyRequired,openHours,parkInfo,gender,access,latitude,longitude
43191,Queen Victoria Market,456 Queen Street,False,"OPEN: Sat-Sun 4am-7pm, Tue,Thu-Fri 4am-5pm, Wed 6am-9:50pm","Parking, Parking Accessible",Unisex,Information not available,-37.80788846,144.95795284
43193,Birrarung Marr Park,Princes Walk Melbourne,False,OPEN: 24 hours,"No Parking, Parking Accessible",Unisex,Accessible,-37.81860384,144.97113538
43197,Queen Victoria Market,159 Victoria Street,False,"OPEN: Tue,Thu-Fri 6am-5pm, Sat-Sun 6am-7pm, Wed 8am-9:50pm","No Parking, Parking Accessible","Male, Female",Information not available,-37.8063998,144.9590201
43201,Queen Victoria Market,153 Victoria Street MELBOURNE VIC 3000,False,"OPEN: Wed 5am-3pm, Mon 5am-4pm, Tue,Thu-Fri 3am-5pm, Sat-Sun 3am-7pm","No Parking, Parking Accessible",Unisex,Accessible,-37.80616528,144.95668888
50677,Sofitel Melbourne on Collins,25 Collins Street,False,OPEN: Daylight hours,"Parking, Parking Accessible","Male, Female",Accessible (Left-Hand Transfer),-37.8141189,144.9728415
54089,271 Spring Street,271 Spring Street,False,OPEN: Daylight hours,"No Parking, Parking Accessible",Unisex,Accessible (Right-Hand Transfer),-37.80879095,144.97113212
54111,Rod Laver Arena,Olympic Boulevard,False,OPEN: Variable hours,"No Parking, Parking Accessible","Male, Female",Accessible,-37.8216833,144.9785474
55157,Alfred Hospital,55 Commercial Road,False,OPEN: 7am-8pm,"No Parking, Parking Accessible","Male, Female",Accessible,-37.84550871,144.98205773
57106,Melbourne Central - Elizabeth Street,360 Elizabeth Street,False,OPEN: 24 hours,"No Parking, Parking Accessible","Male, Female",Accessible,-37.81063448,144.9623575
57108,Melbourne Central Food Court,360 Elizabeth Street,False,"OPEN: Sat-Wed 10am-7pm, Thu-Fri 10am-9pm","No Parking, Parking Accessible","Male, Female",Accessible,-37.81056667,144.96211074
57210,The Atrium,Swanston Street,False,OPEN: 6am-11:30pm,"No Parking, Parking Accessible","Male, Female",Accessible,-37.8174181,144.9694638
