id,class,type,location,reference,latitude,longitude
1118776,Outdoor Furniture,Picnic Setting,Batman Park,"52m SE of 32 Rebecca Walk, Melbourne, 3000",-37.82181009136651, 144.95723412656213
1118777,Outdoor Furniture,Picnic Setting,Miles & Dodds Street Reserve,Miles & Dodds Street Reserve,-37.828656937252504, 144.96741341045328
1118778,Outdoor Furniture,Picnic Setting,Miles & Dodds Street Reserve,Miles & Dodds Street Reserve,-37.828736969451874, 144.96735645077715
1118780,Outdoor Furniture,Picnic Setting,Miles & Dodds Street Reserve,Miles & Dodds Street Reserve,-37.82870592957271, 144.96747944087215
1283653,Outdoor Furniture,Barbeque,J J Holland Park,"29m SE of 132B Kensington Road, Kensington, 3031",-37.797946142132304, 144.92142020526532
1283657,Outdoor Furniture,Picnic Setting,J J Holland Park,"35m SE of Unit 5, 130 Kensington Road, Kensington, 3031",-37.79796097160485, 144.92150984976828
1283658,Outdoor Furniture,Picnic Setting,J J Holland Park,"30m SE of 134B Kensington Road, Kensington, 3031",-37.79801079445144, 144.92131515861075
1290810,Outdoor Furniture,Picnic Setting,Docklands Park,"36m SE of Wise Earth Property Group, 791 Bourke Street, Docklands, 3008",-37.81963957549899, 144.9460327530246
1290811,Outdoor Furniture,Barbeque,Docklands Park,"39m SE of Wise Earth Property Group, 791 Bourke Street, Docklands, 3008",-37.8196434391829, 144.94607342928472
1290812,Outdoor Furniture,Picnic Setting,Docklands Park,"39m SE of Wise Earth Property Group, 791 Bourke Street, Docklands, 3008",-37.81967101529141, 144.94604244650313
1290816,Outdoor Furniture,Barbeque,Docklands Park,"55m SW of Automotive Centre Of Excellence, 2-48 Harbour Esplanade, Docklands, 3008",-37.821986729768355, 144.94727063202177
1290819,Outdoor Furniture,Barbeque,Docklands Park,"69m NE of Street Kitchen Co, Shop 3-4, Ground, 800 Collins Street, Docklands, 3008",-37.82086901096214, 144.9465319294234
1290820,Outdoor Furniture,Picnic Setting,Docklands Park,"73m NE of Street Kitchen Co, Shop 3-4, Ground, 800 Collins Street, Docklands, 3008",-37.82085484096736, 144.94657719597132
1290821,Outdoor Furniture,Barbeque,Point Park,"44m NE of 7 Point Park Crescent, Docklands, 3008",-37.823064959466265, 144.94180279898958
1290822,Outdoor Furniture,Picnic Setting,Point Park,"44m NE of 7 Point Park Crescent, Docklands, 3008",-37.82304152177804, 144.941766300386
1290824,Outdoor Furniture,Picnic Setting,Docklands Park,"56m SW of Automotive Centre Of Excellence, 2-48 Harbour Esplanade, Docklands, 3008",-37.821959061255725, 144.94722913711698
1290825,Outdoor Furniture,Picnic Setting,Docklands Park,"52m SW of Automotive Centre Of Excellence, 2-48 Harbour Esplanade, Docklands, 3008",-37.82194011908193, 144.94727465004468
1290828,Outdoor Furniture,Picnic Setting,Point Park,"45m NE of 5 Point Park Crescent, Docklands, 3008",-37.82308269843786, 144.94185354331907
1290830,Outdoor Furniture,Barbeque,Point Park,"45m NE of 5 Point Park Crescent, Docklands, 3008",-37.82310279866328, 144.9418950198315
1290831,Outdoor Furniture,Picnic Setting,Docklands Park,"72m NE of Street Kitchen Co, Shop 3-4, Ground, 800 Collins Street, Docklands, 3008",-37.82083250044332, 144.94653634950413
1290833,Outdoor Furniture,Picnic Setting,Point Park,"41m NE of 5 Point Park Crescent, Docklands, 3008",-37.823126706363844, 144.9418656128236
1360453,Outdoor Furniture,Barbeque,Southbank Promenade,"53m SW of Yarra Botanicals, Sandridge Wharf, Southbank Promenade, Southbank, 3006",-37.8207420265614, 144.9625030210556
1360454,Outdoor Furniture,Barbeque,Stock Route Reserve,"28m NE of 2 Youlden Street, Kensington, 3031",-37.78854743311894, 144.9262295451231
1360455,Outdoor Furniture,Barbeque,Royal Park,"89m SE of Womens Pavillion, Womens Pavillion, Royal Park, Old Poplar Road, Parkville, 3052",-37.782001069469686, 144.956631830226
1360456,Outdoor Furniture,Barbeque,Galada Avenue Reserve,"41m West of 30 Bunjil Way, Parkville, 3052",-37.779486423346185, 144.93986020424188
1360457,Outdoor Furniture,Barbeque,Alexandra Park,Alexandra Park,-37.82736307281509, 144.98143799649569
1360460,Outdoor Furniture,Barbeque,North Melbourne Community Centre,"30m North of 31 Mark Street, North Melbourne, 3051",-37.79363713198853, 144.94031809548235
1360461,Outdoor Furniture,Picnic Setting,Powlett Reserve,"48m NE of CitiPower Pty Ltd, Substation 7, 74 Grey Street, East Melbourne, 3002",-37.811432146982106, 144.98662823774126
1360462,Outdoor Furniture,Picnic Setting,Carlton Gardens North,Carlton Gardens North,-37.80240601205191, 144.97104406679603
1360463,Outdoor Furniture,Picnic Setting,Carlton Gardens North,Carlton Gardens North,-37.80232602346668, 144.97122400318622
1360464,Outdoor Furniture,Picnic Setting,Carlton Gardens North,Carlton Gardens North,-37.802452078921846, 144.9711810289987
1360468,Outdoor Furniture,Picnic Setting,Alexandra Park,Alexandra Park,-37.827917286142686, 144.9836514719435
1360470,Outdoor Furniture,Picnic Setting,Galada Avenue Reserve,"38m West of 32 Bunjil Way, Parkville, 3052",-37.77944219128613, 144.93988686551876
1360471,Outdoor Furniture,Picnic Setting,Galada Avenue Reserve,"43m West of 28 Bunjil Way, Parkville, 3052",-37.77958924044802, 144.93983918292037
1360473,Outdoor Furniture,Picnic Setting,Stock Route Reserve,"24m NE of 2 Youlden Street, Kensington, 3031",-37.78859563934997, 144.92625987913223
1360474,Outdoor Furniture,Picnic Setting,Stock Route Reserve,"17m North of 2 Youlden Street, Kensington, 3031",-37.788623475790914, 144.92611602188663
1360475,Outdoor Furniture,Picnic Setting,Stock Route Reserve,"14m North of 2 Youlden Street, Kensington, 3031",-37.78864894366752, 144.9261447205041
1360480,Outdoor Furniture,Picnic Setting,Robertson Street Reserve,"16m NE of Maidstone, 61 Barnett Street, Kensington, 3031",-37.7932432026603, 144.93228373432254
1373512,Outdoor Furniture,Barbeque,Fawkner Park,Fawkner Park,-37.83921823281734, 144.98072404641573
1431502,Outdoor Furniture,Barbeque,Flagstaff Gardens,"45m North of City of Melbourne, Flagstaff Gardens Tennis Courts, Flagstaff Gardens, 311 William Street, West Melbourne, 3003",-37.80955468696855, 144.95495159325935
1431515,Outdoor Furniture,Picnic Setting,Birrarung Marr,"27m West of Artplay, Artplay, Birrarung Marr, Batman Avenue, Melbourne, 3000",-37.81823004687603, 144.97128403729124
1431516,Outdoor Furniture,Picnic Setting,Birrarung Marr,"37m West of Artplay, Artplay, Birrarung Marr, Batman Avenue, Melbourne, 3000",-37.81817597377466, 144.97119497787563
