id,name,address,status,latitude,longitude
WIFI-83,MEL-0259,Latrobe St,UP,-37.810454,144.960476
WIFI-84,MEL-0260,Sw Corner Of Latrobe St & Elizabeth St,UP,-37.810463,144.961233
WIFI-85,MEL-0261,Elizabeth St,UP,-37.810831,144.961467
WIFI-86,MEL-0262,Elizabeth St,UP,-37.811543,144.961797
WIFI-87,MEL-0264,435-437 Elizabeth St,UP,-37.808768,144.960482
WIFI-88,MEL-0265,473-481 Elizabeth Street,UP,-37.807741,144.960053
WIFI-89,MEL-0268,Swanston St,UP,-37.809015,144.963439
WIFI-90,MEL-0277,Elizabeth & Lonsdale St,UP,-37.812155,144.962079
WIFI-91,MEL-0281,Lonsdale St,UP,-37.811368,144.965792
WIFI-92,MEL-0285,141 Lonsdale Street,UP,-37.810634,144.968269
WIFI-93,MEL-0287,La Trobe St,UP,-37.808823,144.966787
WIFI-94,MEL-0294,Elizabeth St,UP,-37.804472,144.958548
WIFI-95,MEL-0298,Swanston St,UP,-37.802139,144.963801
WIFI-96,MEL-0302,Lonsdale St,UP,-37.809829,144.970208
WIFI-97,MEL-0306,Bourke St & Exhibition St,UP,-37.812117,144.970777
WIFI-98,MEL-0307,59-69 Bourke St,UP,-37.811909,144.971453
WIFI-99,MEL-0309,Outside 109 Little Collins Street ,FUTURE,-37.8133229,144.970228
WIFI-100,MEL-0311,Bourke St,UP,-37.812558,144.969238
WIFI-101,MEL-0314,192 Flinders Street,UP,-37.816839,144.9692
WIFI-102,MEL-0315,Se Corner  Swanston & Flinders,UP,-37.8176424,144.967639
WIFI-103,MEL-0319,Flinders,UP,-37.817997,144.965041
WIFI-104,MEL-0320,Elizabeth St,UP,-37.817552,144.964837
WIFI-105,MEL-0321,Elizabeth St,UP,-37.817014,144.964575
WIFI-106,MEL-0328,Collins St & Queen,UP,-37.816925,144.961806
WIFI-107,MEL-0330,45-55 William St (Ajs Terrace),UP,-37.818124,144.959207
WIFI-108,MEL-0331,Collins St,UP,-37.817457,144.960069
WIFI-109,MEL-0333,William St,UP,-37.81865,144.959445
WIFI-110,MEL-0335,Sw Corner Of Collins St & King St,UP,-37.818623,144.956661
WIFI-111,MEL-0337,Se Corner King St & Little Bourke St,UP,-37.815439,144.955425
WIFI-112,MEL-0338,187-197 Elizabeth St,UP,-37.813783,144.962826
WIFI-113,MEL-0339,215-217 Elizabeth St,UP,-37.813431,144.962668
WIFI-114,MEL-0341,30 Flinders Street,UP,-37.815264,144.97453
WIFI-115,MEL-0342,1 Macarthur Street,UP,-37.812223,144.974559
WIFI-116,MEL-0343,Spring St,UP,-37.810835,144.972687
WIFI-117,MEL-0344,Macarther Street,UP,-37.809657,144.975525
WIFI-118,MEL-0347,Corner William St & Latrobe St,UP,-37.811925,144.956338
WIFI-119,MEL-0350,Ne Corner Of Peel St And Victoria St (308 Victoria St),UP,-37.805804,144.956199
WIFI-120,MEL-0351,222 Exhibition St,UP,-37.810983,144.970184
WIFI-121,MEL-0352,15 Southern Cross Lane (113-149 Bourke St),UP,-37.812335,144.969875
WIFI-122,MEL-0353,Elizabeth St,UP,-37.816768,144.96446
WIFI-123,MEL-0354,Se Corner Collins St & William,UP,-37.817655,144.959385
WIFI-124,MEL-0360,Ne Corner Of Albert St And Gisbourne St (430 Albert St),UP,-37.8095355,144.975958
WIFI-125,MEL-0362,624-628 Bourke Street,UP,-37.816571,144.954649
WIFI-126,MEL-0363,Bourke St,UP,-37.816093,144.957206
WIFI-127,MEL-0365,Bourke St,UP,-37.815177,144.960264
WIFI-128,MEL-0366,Bourke St,UP,-37.814623,144.962257
WIFI-129,MEL-0369,Clarendon St,UP,-37.822407,144.955842
WIFI-130,MEL-0370,Clarendon St,UP,-37.824018,144.956606
WIFI-131,MEL-0375,45 Collins St,UP,-37.8138488,144.972526
WIFI-132,MEL-0376,S/W Corner Of Collins St And Exhibition St,UP,-37.814,144.9719
WIFI-133,MEL-0379,489 Elizabeth St,UP,-37.80733845,144.9599818
WIFI-134,MEL-0382,Elizabeth St,UP,-37.8049716,144.958778
WIFI-135,MEL-0385,261 Elizabeth St,UP,-37.81268,144.962319
WIFI-136,MEL-0386,Elizabeth St,UP,-37.8156916,144.963976
WIFI-137,MEL-0388,Nw Corner Of Elizabeth St And A'Beckett St (415 Elizabeth St),UP,-37.809144,144.960696
WIFI-138,MEL-0389,Exhibition St,UP,-37.8104294,144.970014
