freewifi_name,freewifi_address,freewifi_latitude,freewifi_longitude,freewifi_status
MEL-0311,Bourke St,-37.812558,144.969238,UP
MEL-0314,192 Flinders Street,-37.816839,144.9692,UP
MEL-0315,Se Corner  Swanston & Flinders,-37.8176424,144.967639,UP
MEL-0319,Flinders,-37.817997,144.965041,UP
MEL-0320,Elizabeth St,-37.817552,144.964837,UP
MEL-0321,Elizabeth St,-37.817014,144.964575,UP
MEL-0328,Collins St & Queen,-37.816925,144.961806,UP
MEL-0330,45-55 William St (Ajs Terrace),-37.818124,144.959207,UP
MEL-0331,Collins St,-37.817457,144.960069,UP
MEL-0333,William St,-37.81865,144.959445,UP
MEL-0335,Sw Corner Of Collins St & King St,-37.818623,144.956661,UP
MEL-0337,Se Corner King St & Little Bourke St,-37.815439,144.955425,UP
MEL-0338,187-197 Elizabeth St,-37.813783,144.962826,UP
MEL-0339,215-217 Elizabeth St,-37.813431,144.962668,UP
MEL-0341,30 Flinders Street,-37.815264,144.97453,UP
MEL-0342,1 Macarthur Street,-37.812223,144.974559,UP
MEL-0343,Spring St,-37.810835,144.972687,UP
MEL-0344,Macarther Street,-37.809657,144.975525,UP
MEL-0347,Corner William St & Latrobe St,-37.811925,144.956338,UP
MEL-0350,Ne Corner Of Peel St And Victoria St (308 Victoria St),-37.805804,144.956199,UP
MEL-0351,222 Exhibition St,-37.810983,144.970184,UP
MEL-0352,15 Southern Cross Lane (113-149 Bourke St),-37.812335,144.969875,UP
MEL-0353,Elizabeth St,-37.816768,144.96446,UP
MEL-0354,Se Corner Collins St & William,-37.817655,144.959385,UP
MEL-0360,Ne Corner Of Albert St And Gisbourne St (430 Albert St),-37.8095355,144.975958,UP
MEL-0362,624-628 Bourke Street,-37.816571,144.954649,UP
MEL-0363,Bourke St,-37.816093,144.957206,UP
MEL-0365,Bourke St,-37.815177,144.960264,UP
MEL-0366,Bourke St,-37.814623,144.962257,UP
MEL-0369,Clarendon St,-37.822407,144.955842,UP
MEL-0370,Clarendon St,-37.824018,144.956606,UP
MEL-0375,45 Collins St,-37.8138488,144.972526,UP
MEL-0376,S/W Corner Of Collins St And Exhibition St,-37.814,144.9719,UP
MEL-0379,489 Elizabeth St,-37.80733845,144.9599818,UP
MEL-0382,Elizabeth St,-37.8049716,144.958778,UP
MEL-0385,261 Elizabeth St,-37.81268,144.962319,UP
MEL-0386,Elizabeth St,-37.8156916,144.963976,UP
MEL-0388,Nw Corner Of Elizabeth St And A'Beckett St (415 Elizabeth St),-37.809144,144.960696,UP
MEL-0389,Exhibition St,-37.8104294,144.970014,UP
MEL-0392,172 Flinders Street,-37.817054,144.968425,UP
MEL-0394,Flinders,-37.8166846,144.97054,UP
MEL-0395,Flinders,-37.816093,144.971761,UP
MEL-0396,Market St,-37.818443,144.960569,UP
MEL-0397,Flinders St,-37.819536,144.960664,UP
MEL-0398,Harbour Esp,-37.814296,144.944514,UP
MEL-0399,Harbour Esp,-37.81688,144.945504,UP
MEL-0400,Harbour Esp,-37.817379,144.94572,UP
MEL-0405,La Trobe St,-37.808868,144.965864,UP
MEL-0406,La Trobe St,-37.8086473,144.967244,UP
MEL-0407,Landsdowne,-37.813265,144.977615,UP
MEL-0408,Landsdowne,-37.81222,144.977778,UP
MEL-0409,Latrobe St,-37.814304,144.946959,UP
MEL-0412,Lonsdale St,-37.811467,144.965352,UP
MEL-0414,Lonsdale St,-37.812027,144.962723,UP
MEL-0415,Opposite 29-31 Market St,-37.8187224,144.960908,UP
MEL-0418,Peel St-Qvicmarketshedk ,-37.8073606,144.955833,UP
MEL-0419,Peel St-Qvicmarketshedc�   ,-37.8064983,144.955995,UP
MEL-0420,113-117 Peel St,-37.805316,144.955884,UP
