monument_id,monument_type,monument_name,monument_address,monument_artist,monument_date,monument_author,monument_structure,monument_latitude,monument_longitude
MONUM-113,Art,Vault,"51 Grant Street, SOUTHBANK",Ron Roberston-Swann,1980,City Of Melbourne,Steel plate sculpture,-37.8260714214476,144.967732756918
MONUM-114,Art,Ned and Dan,"41 Caravel Lane, DOCKLANDS",Alexander Knox,2006,VicUrban,Three-dimensional frieze,-37.81464277494,144.940402722846
MONUM-115,Art,HeartLand,"52 River Esplanade, DOCKLANDS",Karen Casey,2003,VicUrban,Animated Image,-37.8243371974094,144.947619116755
MONUM-116,Art,Feng Shui,"698 Collins Street, DOCKLANDS",Guan Wei,2003,VicUrban,Multi-panel painting,-37.8198227493892,144.951104886543
MONUM-117,Fountain,Grant's Fountain,"353 Exhibition Street, MELBOURNE",unknown,1901,City Of Melbourne,Stone fountain,-37.8074703867589,144.968593306036
MONUM-118,Monument,James C. Roberts,"4 The Avenue, PARKVILLE",unknown,unknown,City Of Melbourne,Granite obelisk,-37.7891381500076,144.957053809565
MONUM-119,Art,Hotham Hill Paving Inlay,76 Canning Street,Bernice McPherson,1995,City Of Melbourne,Ceramic tiles and asphalt,-37.7949047942895,144.940383521588
MONUM-120,Art,Art Wall,"160 Harbour Esplanade, DOCKLANDS",Peter D. Cole,2000,VicUrban,3D Installation,-37.8155779391708,144.946321235909
MONUM-121,Art,Lie of the Land,"IMAX Theatre, Rathdowne Street, CARLTON",Fiona Foley and Chris Knowles,1997,City Of Melbourne,Sandstone sculpture,-37.8037692024891,144.972134286246
MONUM-122,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.8201003379632,144.959547579868
MONUM-123,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.8201540531024,144.959283942501
MONUM-124,Art,Blowhole,"15 Harbour Esplanade, DOCKLANDS",Duncan Stemler,2005,City of Melbourne,Stainless-steel and aluminium sculpture,-37.8219335169736,144.946938744265
MONUM-125,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.820149525359,144.959318134551
MONUM-126,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.8202412036118,144.959153249799
MONUM-127,Monument,Passage,"92 Therry Street, MELBOURNE",Mark Stoner,1994,City Of Melbourne,Bluestone sculpture,-37.8074524440917,144.958306664206
MONUM-128,Art,Henderson Drinking Fountain,"76 Errol Street, NORTH MELBOURNE",Walter MacFarlane,1877,City Of Melbourne,Cast-iron drinking fountain,-37.8033418056724,144.949739183347
MONUM-129,Art,Shoal Fly By,"125 Harbour Esplanade, DOCKLANDS",Cat McCleod and Michael Bellemo,2003,VicUrban,Sculpture,-37.8176052348949,144.945539402201
MONUM-130,Fountain,Grey Street Fountain,"162 Clarendon Street, EAST MELBOURNE",unknown,1863,City Of Melbourne,Cement fountain,-37.8115435409616,144.982950898766
MONUM-131,Fountain,Georges Fountain,"152 Collins Street, MELBOURNE",Peter Staughton,1981,City Of Melbourne,Bluestone and concrete fountain,-37.8147653368517,144.968373912562
MONUM-132,Art,Larry LaTrobe,"215 Collins Street, MELBOURNE",Pamela Irving,1992 and 1996,City Of Melbourne,Bronze sculpture,-37.8155485668529,144.966892078324
MONUM-133,Art,People's Path,"4 Lansdowne Street, EAST MELBOURNE",Ian Sprague et al,1978-1979,City Of Melbourne,Terracotta bricks (tiles),-37.8110235407409,144.978389216138
MONUM-134,Fountain,Grollo Fountain,"169 Rathdowne Street, CARLTON",unknown,2001,City Of Melbourne,Bluestone and granite fountain,-37.8031427973572,144.969874326021
MONUM-135,Art,Continuum,"17 Waterview Walk, DOCKLANDS",Michael Snape,2005,VicUrban,Sculpture,-37.8191896959513,144.946998425444
MONUM-136,Art,Silence,"45 Newquay Promenade, DOCKLANDS",Adrian Mauriks,2003,VicUrban,Sculpture,-37.8151113421446,144.941618390681
MONUM-137,Art,Silence,"50 Newquay Promenade, DOCKLANDS",Adrian Mauriks,2003,VicUrban,Sculpture,-37.8150603527985,144.941593770341
MONUM-138,Art,Silence,"50 Newquay Promenade, DOCKLANDS",Adrian Mauriks,2003,VicUrban,Sculpture,-37.8150519675867,144.941598936717
MONUM-139,Art,Silence,"55B Newquay Promenade, DOCKLANDS",Adrian Mauriks,2003,VicUrban,Sculpture,-37.8150889597275,144.941472613193
MONUM-140,Art,Silence,"55B Newquay Promenade, DOCKLANDS",Adrian Mauriks,2003,VicUrban,Sculpture,-37.8151593795233,144.941509412449
MONUM-141,Monument,Samuel Mauger Drinking Fountain,"110 Victoria Parade, EAST MELBOURNE",unknown,1937,City Of Melbourne,Granite drinking fountain,-37.8082489459354,144.975315385075
MONUM-142,Art,Fault Line,"8 Riverside Quay, SOUTHBANK",Hossein Valamesh,1996,City Of Melbourne,"Sandstone, wood and bronze sculpture",-37.8211525582271,144.964238031747
MONUM-143,Monument,Robert Burns Memorial,"10 Spring Street, EAST MELBOURNE",George Anderson Lawson,1903,City Of Melbourne,Bronze statue and plinth with granite pedestal,-37.814373582353,144.974720032667
MONUM-144,Art,The Genie,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Sculptor Tom Bass; founder F.J. & I. Lemon,1973,City Of Melbourne,Bronze sculpture,-37.8214877401729,144.971194700662
MONUM-145,Art,The Echo,"219 Swanston Street, MELBOURNE",Edward Ginger,1996,City Of Melbourne,Steel plate sculpture with polyurethane paint,-37.812705684744,144.965153944033
MONUM-146,Art,Silence,"55B Newquay Promenade, DOCKLANDS",Adrian Mauriks,2003,VicUrban,Sculpture,-37.8151345502614,144.941464635494
MONUM-147,Art,Silence,"55B Newquay Promenade, DOCKLANDS",Adrian Mauriks,2003,VicUrban,Sculpture,-37.8150877523684,144.941573967784
MONUM-148,Art,Silence,"55B Newquay Promenade, DOCKLANDS",Adrian Mauriks,2003,VicUrban,Sculpture,-37.81508276715,144.941482783904
MONUM-149,Art,Silence,"50 Newquay Promenade, DOCKLANDS",Adrian Mauriks,2003,VicUrban,Sculpture,-37.8150528491189,144.94158776112
MONUM-150,Art,Silence,"45 Newquay Promenade, DOCKLANDS",Adrian Mauriks,2003,VicUrban,Sculpture,-37.8151131017782,144.941629273114
MONUM-151,Art,Within Three Worlds,"684 Park Street, CARLTON NORTH",Loretta Quinn,1995,City Of Melbourne,Bronze sculpture,-37.7788688464994,144.961128357193
MONUM-152,Art,Birrarung Wilam,"Birrarung Marr, MELBOURNE","Vicki Couzens, Lee Darroch and Treahna Hamm",2006,City of Melbourne,"Stone, wood, stainless steel, bronze, nickel and audio installation",-37.8185907034456,144.971834942502
MONUM-153,Art,Birrarung Wilam,"Birrarung Marr, MELBOURNE","Vicki Couzens, Lee Darroch and Treahna Hamm",2006,City of Melbourne,"Stone, wood, stainless steel, bronze, nickel and audio installation",-37.818595693813,144.971821646868
MONUM-154,Art,Birrarung Wilam,"Birrarung Marr, MELBOURNE","Vicki Couzens, Lee Darroch and Treahna Hamm",2006,City of Melbourne,"Stone, wood, stainless steel, bronze, nickel and audio installation",-37.8185954753426,144.971808963839
MONUM-155,Monument,Bust of Dr Louis Smith,"9 Nicholson Street, CARLTON",Edgar Bertram Mackennal,1914,City Of Melbourne,Bronze bust with granite pedestal,-37.8047443111517,144.972452056885
MONUM-156,Art,Boy on a Turtle,"Cook's Cottage, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",unknown,c. 1850,City Of Melbourne,Bronze statue,-37.8143892616922,144.979910150531
MONUM-157,Fountain,Boy and Urn,"4 Lansdowne Street, EAST MELBOURNE",unknown,unknown,City Of Melbourne,Bronze fountain,-37.8121217645873,144.97970321858
MONUM-158,Art,Federation Bells,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,2002,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,-37.8187023628084,144.974201916576
MONUM-159,Art,Threaded Field,"750 Bourke Street, DOCKLANDS",Simon Perry,1999,VicUrban,Sculpture,-37.8179724438437,144.947887016093
MONUM-160,Art,Weathervanes,"184 Swanston Street, MELBOURNE",Daniel Jenkins,1993,City Of Melbourne,Hand-beaten copper sculpture with gold-leaf detail,-37.8134422577685,144.965689009116
MONUM-161,Fountain,Conservatory Fountain,"Conservatory, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",unknown,c. 1900,City Of Melbourne,Cast-iron and granite drinking fountain,-37.8138743431045,144.978595506099
MONUM-162,Art,Constellation,"469 Flinders Street, MELBOURNE",Bruce Armstrong and Geoffrey Bartlett,1996,City Of Melbourne,"Stainless steel, copper and Cyrpus-pine sculpture",-37.8202715915496,144.960597777255
MONUM-163,Art,Constellation,"469 Flinders Street, MELBOURNE",Bruce Armstrong and Geoffrey Bartlett,1996,City Of Melbourne,"Stainless steel, copper and Cyrpus-pine sculpture",-37.8202460956887,144.960662536874
MONUM-164,Art,Constellation,"469 Flinders Street, MELBOURNE",Bruce Armstrong and Geoffrey Bartlett,1996,City Of Melbourne,"Stainless steel, copper and Cyrpus-pine sculpture",-37.8202185496201,144.96072531937
MONUM-165,Art,Constellation,"399 Flinders Street, MELBOURNE",Bruce Armstrong and Geoffrey Bartlett,1996,City Of Melbourne,"Stainless steel, copper and Cyrpus-pine sculpture",-37.8201898206677,144.960789659507
MONUM-166,Art,Constellation,"469 Flinders Street, MELBOURNE",Bruce Armstrong and Geoffrey Bartlett,1996,City Of Melbourne,"Stainless steel, copper and Cyrpus-pine sculpture",-37.8202999349125,144.960534464342
MONUM-167,Monument,Motorcycle,"10 Wellington Parade, EAST MELBOURNE",unknown,1923,City Of Melbourne,Granite and marble memorial,-37.8170400389729,144.989581102887
MONUM-168,Art,Maxims of Behaviour,"Royal Mail House, cnr Bourke & Swanston Sts, MELBOURNE",Alexander Knox,2008,City of Melbourne,Kinetic light installation,-37.8136024551412,144.965808885624
MONUM-169,Art,Speakers Corner,"Birrarung Marr, MELBOURNE",Evangelos Sakaris,c. 2000,,Earthwork and pink-granite memorial,-37.8200825876335,144.975716740604
MONUM-170,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.8201325090472,144.959336879083
MONUM-171,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.8200555636082,144.959698879153
MONUM-172,Art,Painted Poles,"78 Swanston Street, MELBOURNE",Maree Clarke and Sonja Hodge,1992,City Of Melbourne,Metal poles,-37.815760994936,144.966773537312
MONUM-173,Art,Miraggio,"Sidney Myer Music Bowl, Alexandra Avenue, MELBOURNE",Pino Conte,1964,City Of Melbourne,Bronze statue,-37.8240134693642,144.974151500782
MONUM-174,Art,Painted Poles,"50 Swanston Street, MELBOURNE",Maree Clarke and Sonja Hodge,1992,City Of Melbourne,Metal poles,-37.8162685331984,144.967006461765
MONUM-175,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.82012299082,144.959360068025
MONUM-176,Art,Grotto Waterfall,"Kings Domain, Alexandra Avenue, MELBOURNE",unknown,1981,City Of Melbourne,Basalt and cement,-37.8256393190193,144.976761073829
MONUM-177,Art,Personal Islands,"201 Swanston Street, MELBOURNE",Robert Jacks,1992,City Of Melbourne,Brass and bluestone,-37.8129540664935,144.965264917067
MONUM-178,Art,Boy and Pelican,"84 Clarendon Street, EAST MELBOURNE",William Leslie Bowles,1936,City Of Melbourne,Pyrmont sandstone sculpture,-37.8137675376712,144.982771754404
MONUM-179,Art,Blowhole,"13 Harbour Esplanade, DOCKLANDS",Duncan Stemler,2005,City of Melbourne,Stainless-steel and aluminium sculpture,-37.8219853561923,144.946774675143
MONUM-180,Art,Temple of the Winds,"116 Clarendon Street, EAST MELBOURNE",Thomas Jones & Co,1873,City Of Melbourne,Masonry and bluestone rotunda,-37.8128096374869,144.981735857931
MONUM-181,Monument,"Sir Edward ""Weary"" Dunlop","242 St Kilda Road, SOUTHBANK",Peter Corlett,1995,City Of Melbourne,Bronze statue with granite pedestal,-37.8253098347073,144.971594300075
MONUM-182,Art,Federation Bells,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,2002,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,-37.8187182202074,144.974179856228
MONUM-183,Art,Birrarung Wilam,"Birrarung Marr, MELBOURNE","Vicki Couzens, Lee Darroch and Treahna Hamm",2006,City of Melbourne,"Stone, wood, stainless steel, bronze, nickel and audio installation",-37.8185914278651,144.971866175309
MONUM-184,Monument,Lady Janet Clarke Memorial,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Herbert Black,1913,City Of Melbourne,Concrete and stamped copper rotunda,-37.8223354912272,144.971835332477
MONUM-185,Art,Ned and Dan,"20 Doepel Way, DOCKLANDS",Alexander Knox,2006,VicUrban,Three-dimensional frieze,-37.8149351757693,144.940308036389
MONUM-186,Fountain,French Fountain,"9 Nicholson Street, CARLTON",unknown,c. 1880,City Of Melbourne,Bronze fountain with granite plinth,-37.8049009757854,144.972849834667
MONUM-187,Monument,George Hawkins Ievers Memorial Drinking Fountain,"147 Royal Parade, PARKVILLE",Charles Douglas Richardson,1916,City Of Melbourne,"Granite, marble and bluestone drinking fountain",-37.7921729538839,144.958090253028
MONUM-188,Art,Within Three Worlds,"684 Park Street, CARLTON NORTH",Loretta Quinn,1995,City Of Melbourne,Bronze sculpture,-37.7788627462445,144.961112677408
MONUM-189,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.8201019944052,144.959452353426
MONUM-190,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.8201736797154,144.959200268537
MONUM-191,Art,Art Wall,"156 Harbour Esplanade, DOCKLANDS",Peter D. Cole,2000,VicUrban,3D Installation,-37.8158205285983,144.946136474106
MONUM-192,Art,Hotham Hill Seat,76 Canning Street,"Bernice McPherson, Di Christensen and Craig Perry",,City Of Melbourne,Steel seat,-37.7949351874639,144.940340735749
MONUM-193,Art,IOU,"7 Waterview Walk, DOCKLANDS",Mikala Dwyer,2005,VicUrban,Stainless steel and toughened glass,-37.820112083979,144.947923460104
MONUM-194,Art,Art Wall,"160 Harbour Esplanade, DOCKLANDS",Peter D. Cole,2000,VicUrban,3D Installation,-37.8156948270259,144.946202651563
MONUM-195,Art,IOU,"9 Waterview Walk, DOCKLANDS",Mikala Dwyer,2005,VicUrban,Stainless steel and toughened glass,-37.8200830017644,144.947894374833
MONUM-196,Art,IOU,"7 Waterview Walk, DOCKLANDS",Mikala Dwyer,2005,VicUrban,Stainless steel and toughened glass,-37.8201338075104,144.947948917363
MONUM-197,Art,Ned and Dan,"21 Rakaia Way, DOCKLANDS",Alexander Knox,2006,VicUrban,Three-dimensional frieze,-37.8146994633064,144.940838425061
MONUM-198,Art,Ned and Dan,"16 Doepel Way, DOCKLANDS",Alexander Knox,2006,VicUrban,Three-dimensional frieze,-37.8148030334672,144.940223820648
MONUM-199,Art,Ned and Dan,"37 Caravel Lane, DOCKLANDS",Alexander Knox,2006,VicUrban,Three-dimensional frieze,-37.81452427966,144.940608832218
MONUM-200,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.8201043033663,144.959426584028
MONUM-201,Monument,Nurse Edith Cavell,"294 St Kilda Road, SOUTHBANK",Margaret Baskerville,1926,City Of Melbourne,Marble bust with cast-bronze panels on granite pedestal,-37.8279878719975,144.973699196119
MONUM-202,Art,Diana and the Hounds,"Conservatory, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Sculptor William Leslie Bowles; founder A.B. Brunton,1940,City Of Melbourne,Cast bronze statue on granite pedestal,-37.8143067586398,144.978499373084
MONUM-203,Art,Dairy Hall Window,"62 Therry Street, MELBOURNE",Artist Bernice McPherson; architect Craig Perry,1996,City Of Melbourne,Glass and steel window,-37.8072067768463,144.959271667297
MONUM-204,Fountain,Dolphin Fountain,"4 Lansdowne Street, EAST MELBOURNE",June Arnold,1982,City Of Melbourne,Bronze and granite fountain,-37.8118884344659,144.980015806146
MONUM-205,Art,Domed Drinking Fountain,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",unknown,,City Of Melbourne,Marble and granite drinking fountain,-37.8212404231762,144.970769495267
MONUM-206,Art,Eagle,"22 Wurundjeri Way, DOCKLANDS",Bruce Armstrong,2003,VicUrban,Sculpture,-37.8207247436456,144.952391322514
MONUM-207,Monument,Duke and Duchess of York Memorial,"512 Elizabeth Street, MELBOURNE",J. Churchman & Sons,1901,City Of Melbourne,"Marble, granite and sandstone drinking fountain,",-37.806629256046,144.959908916093
MONUM-208,Fountain,Walker Fountain,"210 St Kilda Road, SOUTHBANK","Mobelt, Digregorio & Associates",1981,City Of Melbourne,Concrete fountain,-37.8235489328706,144.970827540478
MONUM-209,Art,Weathervanes,"270 Bourke Street, MELBOURNE",Daniel Jenkins,1993,City Of Melbourne,Hand-beaten copper sculpture with gold-leaf detail,-37.8134883855915,144.965515931433
MONUM-210,Art,Weathervanes,"178 Swanston Street, MELBOURNE",Daniel Jenkins,1993,City Of Melbourne,Hand-beaten copper sculpture with gold-leaf detail,-37.8135755457342,144.965751391423
MONUM-211,Art,Webb Bridge,"50 River Esplanade, DOCKLANDS",Robert Owen and Denton Corker Marshall,2003,VicUrban,Pedestrian and cyclist bridge,-37.8239756487966,144.947233077573
MONUM-212,Art,Weathervanes,"271 Bourke Street, MELBOURNE",Daniel Jenkins,1993,City Of Melbourne,Hand-beaten copper sculpture with gold-leaf detail,-37.8136266014549,144.965579210749
MONUM-213,Art,Outside Inside Out,"27 Caravel Lane, DOCKLANDS",Matthew McCarthy,2006,VicUrban,Mural,-37.814359230579,144.941130138162
MONUM-214,Monument,Mary Gilbert Memorial,"Conservatory, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Alisa O'Connor,1975,City Of Melbourne,Cement fondue bust,-37.8140756651063,144.97856026709
MONUM-215,Art,Model Tudor Village,"Cook's Cottage, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Edgar Wilson,1948,City Of Melbourne,Painted cement model,-37.8132572520671,144.981012379899
MONUM-216,Art,The Travellers,"Sandridge Bridge, SOUTHBANK",Artist Nadim Karam; manufacturer Arup Engineering,2005,City Of Melbourne,Stainless-steel tubing and glass panel installation,-37.8206998343058,144.962209921997
MONUM-217,Art,Commonwealth Games Aquatic Sculptures - Eels,"Kensington Community Recreation Centre, KENSINGTON",unknown,2006,City Of Melbourne,Painted steel sculptures,-37.7966290593729,144.924306764698
MONUM-218,Art,Poise,"110 Harbour Esplanade, DOCKLANDS",Warren Langley,2005,VicUrban,Glass,-37.8180105674976,144.946830696021
MONUM-219,Monument,Pastor Sir Doug and Lady Gladys Nicholls,"Parliament Gardens, EAST MELBOURNE",Louis Laumen,2007,City Of Melbourne,Bronze memorial statue,-37.8100230422747,144.973642124927
MONUM-220,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.820097951228,144.959505265904
MONUM-221,Monument,John Batman Memorial (1),"439 Queen Street, MELBOURNE",J.W. Brown,unknown,City Of Melbourne,Bluestone cairn,-37.8081354860573,144.957645863417
MONUM-222,Monument,Man with the Donkey,"Shrine Of Remembrance Reserve, St Kilda Road, MELBOURNE",Wallace Anderson,1935,City Of Melbourne,Cast bronze statue on granite pedestal,-37.8294820404839,144.973858477761
MONUM-223,Fountain,Macpherson Robertson Fountain,"2 Domain Road, MELBOURNE",Designer Philip Hudson; sculptor Paul Montford,1934,City Of Melbourne,"Granite, bronze and concrete fountain",-37.8323774569183,144.972934293353
MONUM-224,Art,Chinese Lion Guardians,"Cohen Pl, CHINATOWN",unknown,unknown,City Of Melbourne,Marble lions,-37.8112537359422,144.969347727216
MONUM-225,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.8202194220305,144.959168439493
MONUM-226,Art,Island Wave,"404 Queen Street, MELBOURNE",Lisa Young,2003,City Of Melbourne,Steel sculpture on concrete footing,-37.809326383142,144.958057203226
MONUM-227,Art,Walk of Stars,"435 Docklands Drive, DOCKLANDS",Peter Cortlett and Jamie Cooper,2006,VicUrban,Bronze statue and plaques,-37.8152982442351,144.938823236515
MONUM-228,Monument,John F. Kennedy Memorial,"3 Treasury Place, EAST MELBOURNE",Raymond B. Ewers,1965,City Of Melbourne,Bronze bas-relief head set in granite boulder on landscaped site,-37.8136597830075,144.976354519479
MONUM-229,Art,Painted Poles,"322 Swanston Street, MELBOURNE",Jennifer McCarthy,1992,City Of Melbourne,Metal poles,-37.8099325911658,144.964088812819
MONUM-230,Art,Painted Poles,"316 Swanston Street, MELBOURNE",Jennifer McCarthy,1992,City Of Melbourne,Metal poles,-37.8100968762417,144.964165129049
MONUM-231,Art,Painted Poles,"308 Swanston Street, MELBOURNE",Jennifer McCarthy,1992,City Of Melbourne,Metal poles,-37.810347145096,144.964280610813
MONUM-232,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.8201609405995,144.95922840946
MONUM-233,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.8200608408543,144.959653574985
